Virus name	Accession ID	Collection date	Location	Host	Passage	Specimen	Additional host information	Sequencing technology	Assembly method	Comment	Comment type	Lineage	Clade
hCoV-19/USA/CA-MCPHL-22-02951/2022	EPI_ISL_13336746	2022-06-12	North America / USA / California / Monterey County	Human	Original			Oxford Nanopore	Clear Labs BIP-Wv8	Stretches of NNNs (3.08% of overall sequence). Gap of 27 nucleotides when compared to the reference WIV04 sequence. NSP16 without BLAST coverage.	warn	BA.2.12.1	GRA
hCoV-19/USA/CA-MCPHL-22-02949/2022	EPI_ISL_13336744	2022-06-12	North America / USA / California / Monterey County	Human	Original			Oxford Nanopore	Clear Labs BIP-Wv8	Stretches of NNNs (3.08% of overall sequence). Gap of 27 nucleotides when compared to the reference WIV04 sequence. NSP16 without BLAST coverage.	warn	BA.2.12	GRA
hCoV-19/USA/CA-MCPHL-22-02950/2022	EPI_ISL_13336745	2022-06-12	North America / USA / California / Monterey County	Human	Original			Oxford Nanopore	Clear Labs BIP-Wv8	Long stretches of NNNs (6.36% of overall sequence). Gap of 33 nucleotides when compared to the reference WIV04 sequence. NS7a without BLAST coverage. NSP16 without BLAST coverage. NS6 without BLAST coverage.	alert	BA.5	GRA
hCoV-19/USA/CA-MCPHL-22-02952/2022	EPI_ISL_13336747	2022-06-12	North America / USA / California / Monterey County	Human	Original			Oxford Nanopore	Clear Labs BIP-Wv8	Stretches of NNNs (3.08% of overall sequence). Gap of 27 nucleotides when compared to the reference WIV04 sequence. NSP16 without BLAST coverage.	warn	BA.2.12.1	GRA
hCoV-19/Australia/NSW-ICPMR-27441/2022	EPI_ISL_13337707	2022-06-12	Oceania / Australia / New South Wales / Sydney	Human	Original			Illumina		Long stretches of NNNs (9.65% of overall sequence). Gap of 27 nucleotides when compared to the reference WIV04 sequence. NSP16 without BLAST coverage. NS8 without BLAST coverage.	alert	BA.2	GRA
hCoV-19/Australia/NSW-ICPMR-27537/2022	EPI_ISL_13337803	2022-06-12	Oceania / Australia / New South Wales / Sydney	Human	Original			Illumina		Long stretches of NNNs (7.98% of overall sequence). Gap of 33 nucleotides when compared to the reference WIV04 sequence. NSP16 without BLAST coverage. NS8 without BLAST coverage.	alert	BA.2	GRA
hCoV-19/Australia/NSW-ICPMR-27536/2022	EPI_ISL_13337802	2022-06-12	Oceania / Australia / New South Wales / Sydney	Human	Original			Illumina		Long stretches of NNNs (9.33% of overall sequence). Gap of 33 nucleotides when compared to the reference WIV04 sequence. NSP16 without BLAST coverage. NS8 without BLAST coverage.	alert	BA.4	GRA
hCoV-19/Australia/NSW-ICPMR-27535/2022	EPI_ISL_13337801	2022-06-12	Oceania / Australia / New South Wales / Sydney	Human	Original			Illumina		Long stretches of NNNs (5.32% of overall sequence). Gap of 33 nucleotides when compared to the reference WIV04 sequence. NSP16 without BLAST coverage.	alert	BA.2	GRA
hCoV-19/Australia/NSW-ICPMR-27534/2022	EPI_ISL_13337800	2022-06-12	Oceania / Australia / New South Wales / Sydney	Human	Original			Illumina		Long stretches of NNNs (6.95% of overall sequence). Gap of 33 nucleotides when compared to the reference WIV04 sequence. NSP16 without BLAST coverage. NS8 without BLAST coverage.	alert	BA.5	GRA
hCoV-19/Australia/NSW-ICPMR-27440/2022	EPI_ISL_13337706	2022-06-12	Oceania / Australia / New South Wales / Sydney	Human	Original			Illumina		Long stretches of NNNs (6.48% of overall sequence). Gap of 27 nucleotides when compared to the reference WIV04 sequence. NSP16 without BLAST coverage. NS8 without BLAST coverage.	alert	BA.2	GRA
hCoV-19/Australia/NSW-ICPMR-27434/2022	EPI_ISL_13337700	2022-06-12	Oceania / Australia / New South Wales / Sydney	Human	Original			Illumina		Long stretches of NNNs (5.30% of overall sequence). Gap of 27 nucleotides when compared to the reference WIV04 sequence. NSP16 without BLAST coverage. NS8 without BLAST coverage.	alert	BA.2	GRA
hCoV-19/Australia/NSW-ICPMR-27512/2022	EPI_ISL_13337778	2022-06-13	Oceania / Australia / New South Wales / Sydney	Human	Original			Illumina		Long stretches of NNNs (5.76% of overall sequence). Gap of 27 nucleotides when compared to the reference WIV04 sequence. NSP16 without BLAST coverage.	alert	BA.2	GRA
hCoV-19/Australia/NSW-ICPMR-27533/2022	EPI_ISL_13337799	2022-06-12	Oceania / Australia / New South Wales / Sydney	Human	Original			Illumina		Long stretches of NNNs (6.09% of overall sequence). Gap of 42 nucleotides when compared to the reference WIV04 sequence. NSP16 without BLAST coverage.	alert	BA.4	GRA
hCoV-19/Australia/NSW-ICPMR-27532/2022	EPI_ISL_13337798	2022-06-12	Oceania / Australia / New South Wales / Sydney	Human	Original			Illumina		Long stretches of NNNs (7.43% of overall sequence). Gap of 33 nucleotides when compared to the reference WIV04 sequence. NSP16 without BLAST coverage. NS8 without BLAST coverage.	alert	BA.2	GRA
